#,Release Date,Title,Instructor,Price,Product Type,Tags,URL
697,2020-10-18,"The Berimbolo System Part 1: The Foundation by Mikey Musumeci","Mikey Musumeci",197.00,"COMBO","above-100, above-130, above-160, above-30, above-60, auto-best-seller, bestsellers-new, Facebook, featured-bestsellers, Fighter_Mikey Musumeci, GTIN, MC_Guard, New, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/the-berimbolo-system-by-mikey-musumeci
698,2020-10-18,"The footwork Blueprint by Trevor Wittman and Justin Gaethje","Trevor Wittman and Justin Gaethje",97.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Justin Gaethje, Fighter_Trevor Wittman, GTIN, MC_Striking, New, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/the-footwork-blueprint-by-trevor-wittman-and-justin-gaethje
699,2020-10-18,"The Fundamentals of Power Lifting by Louie Simmons","Louie Simmons",97.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Louie Simmons, GTIN, MC_Conditioning, MC_Strength_Training, New, Show_More_App",https://bjjfanatics.com/products/the-fundamentals-of-power-lifting-by-louie-simmons
700,2020-10-18,"Systematic Armlock Defenses by Ante Dzolic","Ante Dzolic",79.00,"COMBO","above-30, above-60, Facebook, Fighter_Ante Dzolic, MC_Escapes, New, Show_More_App",https://bjjfanatics.com/products/systematic-armlock-defenses-by-ante-dzolic
701,2020-10-18,"Escaping From Side Control and Knee on Belly by Ante Dzolic","Ante Dzolic",79.00,"COMBO","above-30, above-60, Facebook, Figjter_Ante Dzolic, MC_Escapes, New, Show_More_App",https://bjjfanatics.com/products/escaping-from-side-control-and-knee-on-belly-by-ante-dzolic
702,2020-10-18,"The Flower Sweep Basics To Advanced by Ante Dzolic","Ante Dzolic",47.00,"COMBO","above-30, best_sellers_two_years, Facebook, Fighter_Ante Dzolic, MC_Guard, New, Show_More_App",https://bjjfanatics.com/products/the-flower-sweep-basics-to-advanced-by-ante-dzolic
703,2020-10-18,"The KTNA Side Control System by Ante Dzolic","Ante Dzolic",79.00,"COMBO","above-30, above-60, Facebook, Fighter_Ante Dzolic, MC_Side_Control_Attacks, New, Show_More_App",https://bjjfanatics.com/products/the-ktna-side-control-system-by-ante-dzolic
704,2020-10-18,"Single Leg X Beyond The Basics by Thomas Lisboa","Thomas Lisboa",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Thomas Lisboa, GTIN, MC_Guard, New, SC_Guard_Single_Leg_X_Guard, Show_More_App",https://bjjfanatics.com/products/single-leg-x-beyond-the-basics-by-thomas-lisboa
705,2020-10-18,"Dominant Striking Strategy by Shawn Yacoubian","Shawn Yacoubian",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Shawn Yacoubian, MC_Striking, New, Show_More_App",https://bjjfanatics.com/products/dominant-striking-strategy-by-shawn-yacoubian
706,2020-10-18,"Fundamentals of Karate Power Striking For MMA by Lyoto and Chinzo Machida","Lyoto and Chinzo Machida",97.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Chinzo Machida, Fighter_Lyoto Machida, GTIN, MC_Striking, New, Show_More_App",https://bjjfanatics.com/products/fundamentals-of-karate-power-striking-for-mma-by-lyoto-and-chinzo-machida
