#,Release Date,Title,Instructor,Price,Product Type,Tags,URL
1,2017-02-27,"The Road To Blue Belt by Travis Lutter","Travis Lutter",47.00,"COMBO","above-30, best_sellers_two_years, bestsellers-new, featured-bestsellers, Fighter_Travis Lutter, GTIN, hide-combo, Show_More_App, Technique_Blue Belt, TopBestSeller, Travis Lutter",https://bjjfanatics.com/products/the-road-to-blue-belt-2-dvd-set-by-travis-lutter
2,2017-03-31,"The Diamond Protocol by Ethan Benda","Ethan Benda",47.00,"COMBO","above-30, auto-best-seller, best_sellers_two_years, bestsellers-new, Conditioning, Ethan Benda, Facebook, featured-bestsellers, Fighter_Ethan Benda, GTIN, hide-combo, hide-dvd, MC_Conditioning, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/the-diamond-protocol-by-ethan-benda
3,2017-04-06,"Arm-Lock Series (Juji-Gatame) by Jimmy Pedro & Travis Stevens","Jimmy Pedro",29.99,"COMBO","best_sellers_two_years, Fighter_Jimmy Pedro, Fighter_Travis Stevens, hide-combo, Jimmy Pedro, MC_Submissions, On Demand, SC_Submissions_Arm_Attacks, Show_More_App, SUBMISSIONS, Technique_Arm Locks, travis stevens",https://bjjfanatics.com/products/arm-lock-series-juji-gatame-by-jimmy-pedro-travis-stevens-vol-1-2-on-demand
4,2017-04-14,"The Power Judo Guard Passing by Jimmy Pedro","Jimmy Pedro",37.00,"COMBO","above-30, above-60, Fighter_Jimmy Pedro, GUARD, Guard Passing, hide-combo, Jimmy Pedro, MC_Guard_Passing, MC_Judo, Show_More_App, Technique_Guards",https://bjjfanatics.com/products/the-power-judo-guard-passing-dvd-by-jimmy-pedro
5,2017-06-12,"Russian Grappling Hacks by Rustam Chsiev","Rustam Chsiev",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Rustam Chsiev, hide-combo, hide-dvd, MC_Submissions, MC_Takedowns, Rustam Chsiev, SC_Submissions_Chokes, SC_Submissions_Foot_&_Leg_Attacks, SC_Takedowns_No_Gi_Takedowns, Show_More_App, stock, Technique_Grappling, Technique_Submissions",https://bjjfanatics.com/products/russian-grappling-hacks-by-rustam-chsiev
6,2018-02-03,"The Pillars Clinch and Takedowns by Stephen Whittier","Stephen Whittier",97.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Fighter_Stephen Whittier, GTIN, hide-combo, Show_More_App, TAKEDOWNS, Technique_Takedowns",https://bjjfanatics.com/products/the-pillars-clinch-and-takedowns-dvd-by-stephen-whittier
7,2018-03-15,"30 Day Fighter Challenge by Lockhart and Leith","George Lockhart",47.00,"COMBO","above-30, auto-best-seller, best_sellers_two_years, Conditioning, Facebook, Fighter_George Lockhart, GTIN, hide-combo, hide-dvd, MC_Conditioning, New, Show_More_App",https://bjjfanatics.com/products/lockhart-leith-nutrition-and-weight-management-system-with-george-lockhart-combo-dvd-hard-copy-book-digital-e-book
8,2018-04-12,"The No Gi Half Guard by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, bundle-discount, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, hide-combo, hide-dvd, level-3, MC_Guard, New, SC_Guard_Half_Guard, Show_More_App, stock, Technique_No Gi, TopBestSeller",https://bjjfanatics.com/products/the-no-gi-half-guard-by-bernardo-faria
9,2018-04-13,"Sambo for BJJ by Vlad Koulikov","Vlad Koulikov",47.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Vlad Koulikov, hide-combo, hide-dvd, MC_Submissions, MC_Takedowns, New, OTHERS, SC_Submissions_Foot_&_Leg_Attacks, SC_Takedowns_Gi_Takedowns, Show_More_App, stock, Technique_Sambo",https://bjjfanatics.com/products/sambo-for-bjj-by-vlad-koulikov
10,2018-04-13,"The Battle Tested Half Guard by Bernardo Faria","Bernardo Faria",39.50,"COMBO","above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bestsellers-new, Daily Deal, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, GUARD, hide-combo, hide-dvd, level-3, MC_Guard, On Demand, quiz_bestseller, SC_Guard_Half_Guard, Show_More_App, Technique_Guards, TopBestSeller",https://bjjfanatics.com/products/the-battle-tested-half-guard-by-bernardo-faria-1
11,2018-04-13,"Battle Tested Pressure Passing by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bestsellers-new, bundle-discount, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, GTIN, GUARD PASSING, hide-combo, hide-dvd, level-3, MC_Guard_Passing, Show_More_App, SUBMISSIONS, Technique_Passing, TopBestSeller, UPBFBTTOBFB",https://bjjfanatics.com/products/battle-tested-pressure-passing-by-bernardo-faria
12,2018-04-13,"Omoplata Everyone by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-100, above-130, above-160, above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, bundle-discount, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, hide-combo, hide-dvd, level-3, MC_Submissions, quiz_bestseller, SC_Submissions_Arm_Attacks, Show_More_App, stock, Technique_Submissions, TopBestSeller",https://bjjfanatics.com/products/omoplata-everyone-by-bernardo-faria
13,2018-04-13,"Escapes from Everywhere by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bestsellers-new, Escapes, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, hide-combo, level-3, MC_Escapes, quiz_bestseller, Show_More_App, stock, Technique_Escapes, TopBestSeller",https://bjjfanatics.com/products/escapes-from-everywhere-by-bernardo-faria
14,2018-04-13,"The Closed Guard by Bernardo Faria","Bernardo Faria",97.00,"COMBO","above-100, above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bundle-discount, Facebook, faria-bundle, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, GUARD, hide-combo, hide-dvd, level-3, MC_Guard, SC_Guard_Closed_Guard, Show_More_App, stock, Technique_Guards",https://bjjfanatics.com/products/the-closed-guard-by-bernardo-faria
15,2018-04-16,"High Precision Half Guard Vol. 2 by Jake Mackenzie","Jake Mackenzie",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Jake Mackenzie, GUARD, hide-combo, hide-dvd, MC_Guard, New, SC_Guard_Half_Guard, Show_More_App, stock, SUBMISSIONS, Technique_Half Guard, TopBestSeller",https://bjjfanatics.com/products/high-precision-half-guard-vol-2-by-jake-mackenzie
16,2018-04-19,"Half Domination by Tom DeBlass","Tom DeBlass",79.00,"COMBO","above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, Facebook, featured-bestsellers, Fighter_Tom DeBlass, GTIN, GUARD, Half Guard, hide-combo, hide-dvd, MC_Guard, SC_Guard_Half_Guard, Show_More_App, SUBMISSIONS, Technique_Guards, Technique_Half Guard, Tom DeBlass, TopBestSeller",https://bjjfanatics.com/products/half-domination-by-tom-deblass-1
17,2018-04-19,"High Tech BJJ In The Gi by Tom DeBlass","Tom DeBlass",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, best_selling, best_selling_fighter, Facebook, Fighter_Tom DeBlass, GUARD, hide-combo, hide-dvd, MC_Guard, MC_Guard_Passing, New, Nlessons-37, SC_Guard_Half_Guard, Show_More_App, stock, SUBMISSIONS, SUBMISSIONS / LEG ATTACKS, Technique_Guards, Technique_Half Guard, Technique_Leg Attacks, TopBestSeller, Vtime-2h22min",https://bjjfanatics.com/products/high-tech-bjj-in-the-gi-by-tom-deblass
18,2018-04-19,"Submission Escapes by Tom DeBlass","Tom DeBlass",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, ESCAPES, Facebook, featured-bestsellers, Fighter_Tom DeBlass, hide-combo, hide-dvd, MC_Escapes, quiz_bestseller, Show_More_App, stock, Technique_Escapes, TopBestSeller",https://bjjfanatics.com/products/submission-escapes-by-tom-deblass
19,2018-04-21,"Down Under Leg Attacks by Craig Jones","Craig Jones",79.00,"COMBO","above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, Facebook, featured-bestsellers, Fighter_Craig Jones, GTIN, hide-combo, hide-dvd, MC_Submissions, quiz_bestseller, SC_Submissions_Foot_&_Leg_Attacks, Show_More_App, SUBMISSIONS / LEG ATTACKS, Technique_Leg Attacks, TopBestSeller, trending-now",https://bjjfanatics.com/products/down-under-leg-attacks-by-craig-jones
20,2018-04-21,"The Triangle Machine by Craig Jones","Craig Jones",47.00,"COMBO","above-30, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, Craig Jones, Facebook, featured-bestsellers, Fighter_Craig Jones, GTIN, hide-combo, hide-dvd, MC_Submissions, New, SC_Submissions_Chokes, Show_More_App, Technique_Submissions, TopBestSeller",https://bjjfanatics.com/products/the-triangle-machine-by-craig-jones
21,2018-04-21,"The Z Guard Encyclopedia by Craig Jones","Craig Jones",79.00,"COMBO","above-30, above-60, auto-best-seller, best_selling, best_selling_fighter, bestsellers-new, Facebook, featured-bestsellers, Fighter_Craig Jones, GTIN, GUARD, hide-combo, hide-dvd, MC_Guard, New, quiz_bestseller, SC_Guard_Z_Guard, Show_More_App, Submissions, Technique_Guard, Technique_Z Guard, TopBestSeller",https://bjjfanatics.com/products/the-z-guard-encyclopedia-by-craig-jones
22,2018-04-21,"Pure Jiu Jitsu by Luis Heredia","Luis Heredia",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Luis Heredia, hide-combo, hide-dvd, Jiu Jitsu, Luis Heredia, MC_Guard, MC_Guard_Passing, MC_Side_Control_Attacks, SC_Guard_Closed_Guard, Show_More_App, stock, UPPPTOBFB",https://bjjfanatics.com/products/pure-jiu-jitsu-by-luis-heredia-1
23,2018-04-21,"The Catch Wrestling Formula by Neil Melanson","Neil Melanson",39.50,"COMBO","above-100, above-30, above-60, auto-best-seller, Daily Deal, Facebook, featured-bestsellers, Fighter_Neil Melanson, Guard Passing, hide-combo, hide-dvd, MC_Catch_Wrestling, Neil Melanson, quiz_bestseller, Show_More_App, stock, Submissions, SUBMISSIONS / OTHER, Technique_Catch Wrestling, TopBestSeller",https://bjjfanatics.com/products/the-catch-wrestling-formula-by-neil-melanson-2
24,2018-04-21,"The Ground Marshal Guard by Neil Melanson","Neil Melanson",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, carthook_checkout, Facebook, Fighter_Neil Melanson, GUARD, hide-dvd, MC_Catch_Wrestling, MC_Guard, options--radio, SC_Guard_Closed_Guard, Show_More_App",https://bjjfanatics.com/products/the-ground-marshall-guard-by-neil-melanson-1
25,2018-04-21,"The Headhunter Guillotine Series by Neil Melanson","Neil Melanson",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, Facebook, featured-bestsellers, Fighter_Neil Melanson, hide-dvd, MC_Catch_Wrestling, MC_Submissions, quiz_bestseller, SC_Submissions_Chokes, Show_More_App, SUBMISSIONS / OTHER, Technique_Catch Wrestling, Technique_Submissions, TopBestSeller",https://bjjfanatics.com/products/the-headhunter-guillotine-series-by-neil-melanson
26,2018-04-21,"Old School Efficient BJJ by Chris Haueter","Chris Haueter",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, BACK ATTACKS, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Chris Haueter, hide-combo, hide-dvd, MC_Fundamentals, MC_Guard, MC_Guard_Passing, MC_Side_Control_Attacks, options--dropdown, SC_Guard_Closed_Guard, Show_More_App, stock, SUBMISSIONS, Technique_Arm Locks, Technique_Back Attacks, TopBestSeller",https://bjjfanatics.com/products/old-school-efficient-bjj-by-chris-haueter
27,2018-04-21,"High Efficiency No Gi Jiu Jitsu: Top Game by Yuri Simoes","Yuri Simoes",39.50,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Daily Deal, Facebook, Fighter_Yuri Simoes, GTIN, hide-combo, hide-dvd, MC_Guard_Passing, quiz_bestseller, Show_More_App, Technique_No Gi",https://bjjfanatics.com/products/high-efficiency-no-gi-jiu-jitsu-top-game-by-yuri-simoes
28,2018-04-21,"Fundamentals & Concepts by Travis Stevens","Travis Stevens",79.00,"COMBO","above-30, above-60, auto-best-seller, Facebook, Fighter_Travis Stevens, FUNDAMENTALS, GTIN, hide-combo, hide-dvd, MC_Fundamentals, New, quiz_bestseller, Show_More_App, Technique_Fundamentals, Technique_Grappling, wizard-beginner",https://bjjfanatics.com/products/fundamentals-concepts-by-travis-stevens
29,2018-04-23,"Advanced Guard Systems by Neil Melanson","Neil Melanson",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, Facebook, featured-bestsellers, Fighter_Neil Melanson, GUARD, hide-combo, hide-dvd, MC_Guard, MC_Submissions, Neil Melanson, New, quiz_bestseller, SC_Guard_Closed_Guard, Show_More_App, stock, SUBMISSIONS, Technique_Guards",https://bjjfanatics.com/products/advanced-guard-systems-by-neil-melanson
30,2018-04-25,"Alpha Male Self Defense by Dean Lister","Dean Lister",47.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Dean Lister, hide-combo, hide-dvd, MC_Self_Defense, OTHERS, Show_More_App, stock",https://bjjfanatics.com/products/alpha-male-self-defense-by-dean-lister
31,2018-04-25,"Leg Attacks & Grappling Hacks by Dean Lister","Dean Lister",79.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Dean Lister, Facebook, Fighter_Dean Lister, GTIN, hide-combo, hide-dvd, MC_Submissions, options--radio, SC_Submission_Foot_&_Leg_Attacks, Show_More_App, Submissions, SUBMISSIONS / LEG ATTACKS, Technique_Leg Attacks",https://bjjfanatics.com/products/leg-attacks-grappling-hacks-by-dean-lister
32,2018-04-25,"Worry Free Escapes by Dean Lister","Dean Lister",79.00,"COMBO","above-30, above-60, auto-best-seller, Dean Lister, Escapes, Facebook, Fighter_Dean Lister, hide-combo, hide-dvd, MC_Escapes, Show_More_App, stock, Technique_Escapes, UPDLLAGH",https://bjjfanatics.com/products/worry-free-escapes-by-dean-lister
33,2018-04-25,"The K.A.T.C.H. Leg Attack System by Dean Lister","Dean Lister",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, Dean Lister, Facebook, Fighter_Dean Lister, hide-combo, hide-dvd, MC_Submissions, SC_Submissions_Foot_&_Leg_Attacks, Show_More_App, stock, Submissions, SUBMISSIONS / LEG ATTACKS, Technique_Leg Attacks",https://bjjfanatics.com/products/the-k-a-t-c-h-leg-attack-system-by-dean-lister
34,2018-04-25,"The Coyote Half Guard by Lucas Leite","Lucas Leite",79.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Lucas Leite, GTIN, GUARD, hide-combo, hide-dvd, Lucas Leite, MC_Guard, Nlessons-29, SC_Guard_Half_Guard, Show_More_App, Technique_Guards, TopBestSeller, Vtime-2h36min",https://bjjfanatics.com/products/the-coyote-half-guard-by-lucas-leite
35,2018-04-25,"Wrestling For BJJ by Hudson Taylor","Hudson Taylor",79.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Hudson Taylor, GTIN, hide-combo, hide-dvd, MC_Takedowns, MC_Wrestling, OTHERS, quiz_bestseller, SC_Takedowns_No_Gi_Takedowns, Show_More_App, TAKEDOWNS, Technique_Takedowns, Technique_Wrestling",https://bjjfanatics.com/products/wrestling-for-bjj-by-hudson-taylor
36,2018-04-25,"High Level Fundamentals by Gregor Gracie","Gregor Gracie",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Gregor Gracie, FUNDAMENTALS, Gregor Gracie, hide-combo, hide-dvd, MC_Fundamentals, quiz_bestseller, Show_More_App, stock, Technique_Fundamentals, wizard-beginner",https://bjjfanatics.com/products/high-level-fundamentals-by-gregor-gracie
37,2018-04-25,"Old School Crushing Pressure and Submissions by Murilo Bustamante","Murilo Bustamante",47.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, featured-bestsellers, Fighter_Murilo Bustamante, GUARD PASSING, hide-combo, hide-dvd, MC_Guard_Passing, MC_Submissions, SC_Submissions_Chokes, Show_More_App, stock, SUBMISSIONS, Technique_Arm Locks, Technique_Passing, TopBestSeller",https://bjjfanatics.com/products/old-school-crushing-pressure-and-submissions-by-murilo-bustamante
38,2018-04-25,"High Precision Half Guard and Reverse Half Guard by Jake Mackenzie","Jake Mackenzie",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Jake Mackenzie, GUARD, hide-combo, hide-dvd, MC_Guard, Nlessons-31, SC_Guard_Half_Guard, Show_More_App, SUBMISSIONS, Technique_Deep Half, Technique_Half Guard, TopBestSeller, Vtime-2h29min",https://bjjfanatics.com/products/high-precision-half-guard-and-reverse-half-guard-by-jake-mackenzie-1
39,2018-04-25,"Position to Submission by Matheus Diniz","Matheus Diniz",79.00,"COMBO","above-30, above-60, auto-best-seller, Back Attacks, best_sellers_two_years, Facebook, Fighter_Matheus Diniz, GTIN, hide-combo, hide-dvd, MC_Guard, MC_Guard_Passing, MC_Submissions, SC_Guard_Half_Guard, SC_Submissions_Arm_Attacks, Show_More_App, Submissions",https://bjjfanatics.com/products/position-to-submission-by-matheus-diniz
40,2018-04-25,"Sweep The World by Leonardo Saggioro","Leonardo Saggioro",47.00,"COMBO","above-30, auto-best-seller, best_sellers_two_years, Facebook, featured-bestsellers, Fighter_Leonardo ""Cascao"" Saggioro, GTIN, GUARD, GUARD PASSING, hide-combo, hide-dvd, MC_Guard, SC_Guard_Half_Guard, Show_More_App, Technique_Deep Half, Technique_Half Guard, Technique_Passing, TopBestSeller",https://bjjfanatics.com/products/sweep-the-world-by-leonardo-cascao-saggioro
41,2018-04-25,"The Ashi LegLock System by Jay Wadsworth","Jay Wadsworth",47.00,"COMBO","above-30, above-60, Facebook, Fighter_Jay Wadsworth, GUARD, hide-combo, hide-dvd, MC_Submissions, SC_Submissions_Foot_&_Leg_Attacks, Show_More_App, stock, SUBMISSIONS / LEG ATTACKS, Technique_Guards, Technique_Leg Attacks",https://bjjfanatics.com/products/the-ashi-leglock-system-by-jay-wadsworth
42,2018-04-25,"The 92 Double Sleeve Guard by Jay Wadsworth","Jay Wadsworth",47.00,"COMBO","above-30, above-60, Facebook, Fighter_Jay Wadsworth, GUARD, hide-combo, hide-dvd, MC_Guard, Show_More_App, stock, Technique_Guards",https://bjjfanatics.com/products/the-92-double-sleeve-guard-by-jay-wadsworth-1
43,2018-04-25,"Chokes By Travis Stevens","Travis Stevens",47.00,"COMBO","above-30, Facebook, Fighter_Travis Stevens, hide-combo, hide-dvd, MC_Submissions, SC_Submissions_Chokes, Show_More_App, Submissions, Travis Stevens",https://bjjfanatics.com/products/chokes-by-travis-stevens
44,2018-04-25,"Attacking & Defending The Turtle by Travis Stevens","Travis Stevens",47.00,"COMBO","above-30, above-60, Escapes, Facebook, Fighter_Travis Stevens, hide-combo, hide-dvd, MC_Back_Attacks, MC_Submissions, MC_Turtle, Show_More_App, stock, Submissions, Technique_Escapes, Technique_Submissions, Travis Stevens",https://bjjfanatics.com/products/copy-of-attacking-defending-the-turtle-by-travis-stevens
45,2018-04-25,"Wrist Locks From Everywhere by Travis Stevens","Travis Stevens",39.99,"COMBO","above-30, auto-best-seller, Facebook, Fighter_Travis Stevens, GTIN, hide-combo, hide-dvd, MC_Submissions, quiz_bestseller, SC_Submissions_Arm_Attacks, Show_More_App, Travis Stevens, Wrist Locks",https://bjjfanatics.com/products/wrist-locks-from-everywhere-by-travis-stevens
46,2018-04-25,"The Judo Academy by Jimmy Pedro & Travis Stevens","Jimmy Pedro and Travis Stevens",79.00,"COMBO","above-30, above-60, auto-best-seller, Facebook, Fighter_Jimmy Pedro, Fighter_Travis Stevens, GTIN, hide-combo, hide-dvd, Jimmy Pedro, MC_Judo, OTHERS, quiz_bestseller, Show_More_App, Takedowns, Technique_Judo, Travis Stevens",https://bjjfanatics.com/products/the-judo-academy-by-jimmy-pedro-and-travis-stevens
47,2018-04-26,"Back Takes For Everyone By Gabriel Arges","Gabriel Arges",79.00,"COMBO","above-30, above-60, BACK ATTACKS, best_sellers_two_years, Facebook, Fighter_Gabriel Arges, GTIN, hide-combo, hide-dvd, MC_Back_Attacks, MC_Guard, quiz_bestseller, SC_Guard_De_La_Riva_Guard, SC_Guard_X_Guard, Show_More_App, Technique_Back Attacks",https://bjjfanatics.com/products/back-takes-for-everyone-by-gabriel-arges
48,2018-04-26,"The Knee-Barges Leg Attack System by Gabriel Arges","Gabriel Arges",47.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Gabriel Arges, hide-combo, hide-dvd, MC_Submissions, SC_Submissions_Foot_&_Leg_Attacks, Show_More_App, stock, SUBMISSIONS / LEG ATTACKS, Technique_Leg Attacks",https://bjjfanatics.com/products/the-knee-barges-leg-attack-system-by-gabriel-arges
49,2018-04-26,"Killer Turtle Attacks by Mike Palladino","Mike Palladino",23.50,"COMBO","above-30, above-60, best_sellers_two_years, Daily Deal, Facebook, Fighter_Mike Palladino, hide-combo, hide-dvd, MC_Submissions, MC_Turtle, New, SC_Submissions_Chokes, Show_More_App, stock, Technique_Submissions, TopBestSeller",https://bjjfanatics.com/products/killer-turtle-attacks-by-mike-palladino
50,2018-05-03,"High Percentage Submissions by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-30, above-60, auto-best-seller, Bernardo Faria, best_selling, best_selling_fighter, bestsellers-new, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, GTIN, hide-combo, hide-dvd, level-3, MC_Submissions, quiz_bestseller, SC_Submissions_Arm_Attacks, SC_Submissions_Chokes, Show_More_App, Submissions, Technique_Submissions, TopBestSeller",https://bjjfanatics.com/products/high-percentage-submissions-by-bernardo-faria
51,2018-05-03,"Pressure Passing Encyclopedia by Bernardo Faria","Bernardo Faria",79.00,"COMBO","above-100, above-130, above-160, above-30, above-60, auto-best-seller, Bernardo Faria, best_selling_fighter, bestsellers-new, Facebook, faria-bundle, featured-bestsellers, Fighter_Bernardo Faria, Fighter_best selling Bernardo Faria, Guard Passing, hide-combo, hide-dvd, level-3, MC_Guard_Passing, quiz_bestseller, Show_More_App, Technique_Passing, TopBestSeller",https://bjjfanatics.com/products/pressure-passing-encyclopedia-by-bernardo-faria-1
52,2018-05-03,"Giant Killing by Claudio Calasans","Claudio Calasans",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Claudio Calasans, Facebook, Fighter_Claudio Calasans, GTIN, Guard, hide-combo, hide-dvd, MC_Guard, MC_Submissions, SC_Guard_Closed_Guard, SC_Submissions_Leg_Attacks, Show_More_App, Submissions, Technique_Guards",https://bjjfanatics.com/products/giant-killing-by-claudio-calasans
53,2018-05-03,"Grappling With Yoga by Josh Stockman","Josh Stockman",79.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Conditioning, Facebook, Fighter_Josh Stockman, GTIN, hide-combo, hide-dvd, MC_Conditioning, OTHERS, Show_More_App, Technique_Yoga",https://bjjfanatics.com/products/grappling-with-yoga-by-josh-yogi-nogi-stockman
54,2018-05-03,"Hidden BJJ Secrets by Luiz Panza","Luiz Panza",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Luiz Panza, GTIN, hide-combo, hide-dvd, Luiz Panza, MC_Guard, MC_Guard_Passing, MC_Submissions, SC_Submissions_Leg_Attacks, Show_More_App, Submissions, Technique_Submissions",https://bjjfanatics.com/products/hidden-bjj-secrets-by-luiz-panza
55,2018-05-03,"IBJJF Legal Footlocks by Jose Varella","Jose Varella",39.00,"COMBO","above-30, best_sellers_two_years, Facebook, Fighter_Jose Varella, hide-combo, hide-dvd, Jose Luis Varella, MC_Submissions, SC_Submissions_Leg_Attacks, Show_More_App, stock, Submissions, SUBMISSIONS / LEG ATTACKS, Technique_Foot Locks",https://bjjfanatics.com/products/ibjjf-legal-footlocks-by-jose-varella
56,2018-05-03,"Jiu-Jitsu Domination (Smash. Pass. Finish) By Rodolfo Vieira","Rodolfo Vieira",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Rodolfo Vieira, GTIN, Guard Passing, hide-combo, hide-dvd, MC_Guard_Passing, MC_Submissions, Rodolfo Vieira, Show_More_App, Submissions, Technique_Submissions",https://bjjfanatics.com/products/jiu-jitsu-domination-smash-pass-finish-by-rodolfo-vieira
57,2018-05-03,"Passing, Back Takes & Finishes by JT Torres","JT Torres",79.00,"COMBO","above-30, above-60, auto-best-seller, Facebook, Fighter_JT Torres, GTIN, GUARD PASSING, hide-combo, hide-dvd, JT Torres, MC_Back_Attacks, MC_Guard_Passing, MC_Submissions, On Demand, SC_Submissions_Chokes, Show_More_App, SUBMISSIONS, Technique_Passing",https://bjjfanatics.com/products/jt-torres-passing-back-takes-finishes-1
58,2018-05-03,"Lasso Guard by Raphael Carneiro","Raphael Carneiro",47.00,"COMBO","above-30, best_sellers_two_years, Facebook, Fighter_Raphael Carneiro, GUARD, hide-combo, hide-dvd, MC_Guard, SC_Guard_Lasso_Guard, Show_More_App, SUBMISSIONS, Technique_Guard",https://bjjfanatics.com/products/lasso-guard-by-raphael-carneiro
59,2018-05-03,"The Lo Guard & Matrix Passing by Leandro Lo","Leandro Lo",79.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, featured-bestsellers, Fighter_Leandro Lo, GUARD PASSING, hide-combo, hide-dvd, Leandro Lo, MC_Guard, MC_Guard_Passing, On Demand, SC_Guard_Single_Leg_X_Guard, SC_Guard_Spider_Guard, Show_More_App, stock, SUBMISSIONS, Technique_Passing, TopBestSeller",https://bjjfanatics.com/products/leandro-lo-the-lo-guard-matrix-passing
60,2018-05-03,"Mastering Brazilian Jiu Jitsu After 40: Top Game by Fabiano Scherner","Fabiano Scherner",79.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, Fighter_Fabiano Scherner, GTIN, GUARD PASSING, hide-combo, hide-dvd, MC_Guard_Passing, Show_More_App, SUBMISSIONS, Technique_Passing",https://bjjfanatics.com/products/mastering-brazilian-jiu-jitsu-after-40-top-game-fabiano-scherner
61,2018-05-03,"No Gi Takedowns Made Easy by Rick Hawn","Rick Hawn",97.00,"COMBO","above-100, above-30, above-60, auto-best-seller, best_sellers_two_years, Facebook, featured-bestsellers, Fighter_Rick Hawn, GTIN, hide-combo, hide-dvd, MC_Judo, MC_Takedowns, OTHERS, SC_Takedowns_No_Gi_Takedowns, Show_More_App, TAKEDOWNS, Technique_Judo, Technique_Takedowns, TopBestSeller",https://bjjfanatics.com/products/no-gi-takedowns-made-easy-by-rick-hawn
